Year,Month,count
2020,1,62723
2020,2,61151
2020,3,65501
2020,4,63305
2020,5,77299
2020,6,72790
2020,7,75578
2020,8,79436
2020,9,75338
2020,10,86339
2020,11,85028
2020,12,85403
2021,1,96606
2021,2,84071
2021,3,95734
2021,4,96491
2021,5,105062
2021,6,101794
2021,7,103044
2021,8,102856
2021,9,102126
2021,10,105701
2021,11,94812
2021,12,90881
2022,1,101736
2022,2,94571
2022,3,108052
2022,4,110125
2022,5,115258
2022,6,109377
2022,7,114366
2022,8,110801
2022,9,108237
2022,10,108865
2022,11,95613
2022,12,96716
2023,1,142944
2023,2,128116
2023,3,145350
2023,4,148723
2023,5,160942
2023,6,154328
2023,7,160813
2023,8,159495
2023,9,153034
2023,10,153317
2023,11,138772
2023,12,138558
2024,1,129448
2024,2,124674
2024,3,132143
2024,4,136813
2024,5,148042
2024,6,153946
2024,7,156457
2024,8,156055
2024,9,153271
2024,10,153463
2024,11,137325
2024,12,134488
