Offense Name,count
Aggravated Assault,749798
All Other Larceny,481340
Arson,11301
Bribery,969
Burglary/Breaking & Entering,272224
Counterfeiting/Forgery,41947
Credit Card/Automated Teller Machine Fraud,53220
Criminal Sexual Contact,35561
Destruction/Damage/Vandalism of Property,674319
Embezzlement,5173
Extortion/Blackmail,11387
False Pretenses/Swindle/Confidence Game,74333
Fondling,39443
Hacking/Computer Invasion,4288
"Human Trafficking, Commercial Sex Acts",2222
"Human Trafficking, Involuntary Servitude",952
Identity Theft,90574
Impersonation,25982
Incest,992
Intimidation,710149
Justifiable Homicide,570
Kidnapping/Abduction,49433
Motor Vehicle Theft,305067
Murder and Nonnegligent Manslaughter,13834
Negligent Manslaughter,1857
Pocket-picking,9723
Purse-snatching,6752
Rape,86211
Robbery,221743
Sexual Assault With An Object,10142
Shoplifting,45980
Simple Assault,2133329
Sodomy,21853
Statutory Rape,4351
Stolen Property Offenses,90335
Theft From Building,121670
Theft From Coin-Operated Machine or Device,1090
Theft From Motor Vehicle,324717
Theft of Motor Vehicle Parts or Accessories,100780
Welfare Fraud,572
Wire Fraud,7120
