Victim Age Group,count
-1,110886
1,8076
2,7323
3,9598
4,10872
5,11709
6,11587
7,11874
8,12866
9,14396
10,18649
11,29936
12,44596
13,56057
14,65120
15,70535
16,76135
17,80896
18,100815
19,118396
20,131801
21,147674
22,156255
23,162390
24,167986
25,172200
26,170314
27,175311
28,174999
29,178063
30,183936
31,177017
32,177444
33,173746
34,170163
35,167947
36,160525
37,156014
38,149873
39,146283
40,142959
41,135888
42,129552
43,121196
44,114713
45,108468
46,101835
47,97404
48,93621
49,92016
50,93651
51,88124
52,85966
53,82947
54,79060
55,76230
56,73445
57,73499
58,75188
59,68445
60,65595
61,61670
62,57369
63,53488
64,49785
65,45605
66,41634
67,38430
68,34597
69,31118
70,28566
71,26126
72,23598
73,21646
74,19539
75,17763
76,15709
77,13953
78,12037
79,10585
80,9511
81,8133
82,7100
83,6149
84,5430
85,4680
86,3942
87,3310
88,2920
89,2311
90,1980
91,1650
92,1281
93,986
94,861
95,517
96,433
97,344
98,2227
185,6255
