Offense Category,F,M,U
Arson,4847,5950,504
Assault Offenses,2038113,1536867,18296
Bribery,548,409,12
Burglary/Breaking & Entering,127305,142665,2254
Counterfeiting/Forgery,18401,21947,1599
Destruction/Damage/Vandalism of Property,360006,309946,4367
Embezzlement,2230,2925,18
Extortion/Blackmail,4046,7302,39
Fraud Offenses,131915,117910,6264
Homicide Offenses,3876,12323,62
Human Trafficking,2210,792,172
Kidnapping/Abduction,39231,10085,117
Larceny/Theft Offenses,498090,583951,10011
Motor Vehicle Theft,114542,188911,1614
Robbery,78561,142214,968
Sex Offenses,168736,23981,493
"Sex Offenses, Non-forcible",4657,683,3
Stolen Property Offenses,33711,51254,5370
